Estación,Líneas,Tipo,Latitud,Longitud,Fuente coordenadas,Transbordo,Parq. Bici,EnCicla,Ruta Integrada,PAC
Niquía,Línea A,Metro,6.33785,-75.54426,OpenStreetMap,No,Sí,,,
Bello,Línea A,Metro,6.33009,-75.55364,OpenStreetMap,No,,,,
Madera,Línea A,Metro,6.31586,-75.55530,OpenStreetMap,No,,,,
Acevedo,Línea A / Línea K / Línea P,Metro / Metrocable,6.29990,-75.55865,OpenStreetMap,"Sí (A, K, P)",,,,
Tricentenario,Línea A,Metro,6.29031,-75.56471,OpenStreetMap,No,,,,
Caribe,Línea A / Línea O,Metro / Tranvía,6.27832,-75.56941,OpenStreetMap,"Sí (A, O)",,,,
Universidad,Línea A,Metro,6.26941,-75.56580,OpenStreetMap,No,Sí,Sí,,
Hospital,Línea A,Metro,6.26388,-75.56337,OpenStreetMap,No,,,,
Prado,Línea A,Metro,6.25684,-75.56616,OpenStreetMap,No,,,,
Parque Berrío,Línea A,Metro,6.25050,-75.56821,OpenStreetMap,No,,Sí,,
San Antonio,Línea A / Línea B / Línea T,Metro / Tranvía,6.24717,-75.56968,OpenStreetMap,"Sí (A, B, T)",,Sí,,
Alpujarra,Línea A,Metro,6.24293,-75.57142,OpenStreetMap,No,,Sí,,
Exposiciones,Línea A,Metro,6.23842,-75.57317,OpenStreetMap,No,,Sí,,
Industriales,Línea A,Metro,6.23004,-75.57563,OpenStreetMap,No,Sí,Sí,,
Poblado,Línea A,Metro,6.21198,-75.57812,OpenStreetMap,No,,,,
Aguacatala,Línea A,Metro,6.19400,-75.58178,OpenStreetMap,No,Sí,,,
Ayurá,Línea A,Metro,6.18616,-75.58606,OpenStreetMap,No,,,,
Envigado,Línea A,Metro,6.17472,-75.59706,OpenStreetMap,No,,Sí,,
Itagüí,Línea A,Metro,6.16300,-75.60659,OpenStreetMap,No,Sí,,,
Sabaneta,Línea A,Metro,6.15774,-75.61614,OpenStreetMap,No,,,,
La Estrella,Línea A,Metro,6.15278,-75.62633,OpenStreetMap,No,,,,
Suramericana,Línea B,Metro,6.25297,-75.58293,OpenStreetMap,No,Sí,Sí,,
Estadio,Línea B,Metro,6.25335,-75.58823,OpenStreetMap,No,Sí,Sí,,
Floresta,Línea B,Metro,6.25870,-75.59774,OpenStreetMap,No,,Sí,,
Santa Lucía,Línea B / Línea O,Metro / Tranvía,6.25808,-75.60375,OpenStreetMap,"Sí (B, O)",,,,
San Javier,Línea B / Línea J,Metro / Metrocable,6.25686,-75.61382,OpenStreetMap,"Sí (B, J)",,,,
Oriente,Línea H / Línea T,Metrocable / Tranvía,6.23329,-75.54008,OpenStreetMap,"Sí (H, T)",,,,
Miraflores,Línea M / Línea T,Metrocable / Tranvía,6.24188,-75.54921,OpenStreetMap,"Sí (M, T)",,,,
Santo Domingo,Línea K / Línea L,Metrocable,6.29296,-75.54181,OpenStreetMap,"Sí (K, L)",,,,
Arví,Línea L,Metrocable,6.28134,-75.50301,OpenStreetMap,No,Sí,,,
